Altium Designer Pick and Place Locations
C:\ELI\rt_super\MK76\mixdowns\A\CCA\RT_SUPER__MK_76_PICK_PLACE__A.csv

========================================================================================================================
File Design Information:

Date:       18/11/23
Time:       21:46
Revision:   f0b929d69c700d2b5308ad0ca989cd891f9a10c0
Variant:    A
Units used: mm

"Designator","Comment","Layer","Footprint","Center-X(mm)","Center-Y(mm)","Rotation","Description","Manufacturer Part Number","Supplier 1","Supplier Part Number 1"
"R22","0","TopLayer","R0402_0.40MM_HD","28.3464","22.7330","0","RES 0.0 OHM 1/10W JUMP 0402 SMD","ERJ-2GE0R00X","Digi-Key","P0.0JCT-ND"
"T58","SOLDER_HOLE","TopLayer","MACHINE_PIN_SOLDERHOLE","29.8450","33.0200","180","","","",""
"U3","SN74AUC1G07DBVR","TopLayer","SOT23-5","25.8681","17.7296","180","IC BUFF NON-INVERT 2.7 V SOT23-5","SN74AUC1G07DBVR","Digi-Key","296-12463-1-ND"
"F8","PCB Fiducial","BottomLayer","Fiducial_1mm_-_2mm","5.0800","5.0800","0","PCB Fiducial","","",""
"F7","PCB Fiducial","BottomLayer","Fiducial_1mm_-_2mm","31.7500","5.0800","0","PCB Fiducial","","",""
"F6","PCB Fiducial","BottomLayer","Fiducial_1mm_-_2mm","31.7500","31.7500","0","PCB Fiducial","","",""
"F5","PCB Fiducial","BottomLayer","Fiducial_1mm_-_2mm","5.0800","31.7500","0","PCB Fiducial","","",""
"F4","PCB Fiducial","TopLayer","Fiducial_1mm_-_2mm","5.0800","5.0800","180","PCB Fiducial","","",""
"R21","0","TopLayer","R0402_0.40MM_HD","6.6893","22.5619","270","RES 0.0 OHM 1/10W JUMP 0402 SMD","ERJ-2GE0R00X","Digi-Key","P0.0JCT-ND"
"R9","100k","TopLayer","R0402_0.40MM_HD","16.0090","6.9850","90","RES 100K OHM 1/10W 1% 0402 SMD","ERJ-2RKF1003X","Digi-Key","P100KLCT-ND"
"F3","PCB Fiducial","TopLayer","Fiducial_1mm_-_2mm","31.7500","5.0800","180","PCB Fiducial","","",""
"F2","PCB Fiducial","TopLayer","Fiducial_1mm_-_2mm","31.7500","31.7500","180","PCB Fiducial","","",""
"F1","PCB Fiducial","TopLayer","Fiducial_1mm_-_2mm","5.0800","31.7500","180","PCB Fiducial","","",""
"U6","APS6408L-3OBM-BA","TopLayer","BGA24C100P5X5_600X800X120","11.8840","10.0330","180","3.3v Double-Data-Rate Octal SPI Xccela PSRAM","APS6408L-3OBM-BA","",""
"X1","32.768kHz","TopLayer","XTAL_3215","17.7885","22.7819","270","CRYSTAL 32.768KHZ 9PF SMD","NX3215SA-32.768K-STD-MUA-9","Digi-Key","644-1155-6-ND"
"C45","9.5pF","TopLayer","PERFECT_0402","19.5580","23.7827","270","CAP CER 9.5PF 50V C0G/NP0 0402","GCQ1555C1H9R5BB01D","Digikey","490-17528-1-ND"
"C44","9.5pF","TopLayer","PERFECT_0402","19.5580","21.7111","90","CAP CER 9.5PF 50V C0G/NP0 0402","GCQ1555C1H9R5BB01D","Digikey","490-17528-1-ND"
"R20","1k","TopLayer","R0402_0.40MM_HD","8.0704","26.5329","270","RES 1K OHM 1/10W 1% 0402 SMD","ERJ-2RKF1001X","Digi-Key","P1.00KLCT-ND"
"R19","1k","TopLayer","R0402_0.40MM_HD","6.5532","26.5248","270","RES 1K OHM 1/10W 1% 0402 SMD","ERJ-2RKF1001X","Digi-Key","P1.00KLCT-ND"
"D4","LED 1.6X0.8MM 630NM RED CLR SMD","TopLayer","LED_0603_-_RED","8.1500","29.5610","90","LED 1.6X0.8MM 630NM RED CLR SMD","APT1608SURCK","Digi-Key","754-1123-1-ND"
"D3","LED 1.6X0.8MM 570NM GRN CLR SMD","TopLayer","LED_0603_-_GREEN","6.6022","29.5610","90","LED 1.6X0.8MM 570NM GRN CLR SMD","APT1608CGCK","Digi-Key","754-1116-1-ND"
"J2","FTSH-105-01-F-DV","TopLayer","FTSH-105-01-F-DV-K-A","27.6013","9.4087","0","SAMTEC - FTSH-105-01-F-DV - .050 X .050","FTSH-105-01-F-DV","Newark","01R3399"
"T76","SOLDER_HOLE","TopLayer","MACHINE_PIN_SOLDERHOLE","6.9850","33.0200","180","","","",""
"T75","SOLDER_HOLE","TopLayer","MACHINE_PIN_SOLDERHOLE","8.2550","35.5600","180","","","",""
"T74","SOLDER_HOLE","TopLayer","MACHINE_PIN_SOLDERHOLE","9.5250","33.0200","180","","","",""
"T73","SOLDER_HOLE","TopLayer","MACHINE_PIN_SOLDERHOLE","10.7950","35.5600","180","","","",""
"T72","SOLDER_HOLE","TopLayer","MACHINE_PIN_SOLDERHOLE","12.0650","33.0200","180","","","",""
"T71","SOLDER_HOLE","TopLayer","MACHINE_PIN_SOLDERHOLE","13.3350","35.5600","180","","","",""
