Designator,Comment,Layer2,Footprint,Mid X,Mid Y,Rotation,Description,Manufacturer Part Number,Supplier 1,Supplier Part Number 1,,Layer
R22,0,TOP,R0402_0.40MM_HD,28.3464,22.733,0,RES 0.0 OHM 1/10W JUMP 0402 SMD,ERJ-2GE0R00X,Digi-Key,P0.0JCT-ND,,Bottom
T58,SOLDER_HOLE,TOP,MACHINE_PIN_SOLDERHOLE,29.845,33.02,180,,,,,,Bottom
U3,SN74AUC1G07DBVR,TOP,SOT23-5,25.8681,17.7296,180,IC BUFF NON-INVERT 2.7 V SOT23-5,SN74AUC1G07DBVR,Digi-Key,296-12463-1-ND,,Bottom
F8,PCB Fiducial,BottomLayer,Fiducial_1mm_-_2mm,5.08,5.08,0,PCB Fiducial,,,,,Bottom
F7,PCB Fiducial,BottomLayer,Fiducial_1mm_-_2mm,31.75,5.08,0,PCB Fiducial,,,,,Bottom
F6,PCB Fiducial,BottomLayer,Fiducial_1mm_-_2mm,31.75,31.75,0,PCB Fiducial,,,,,Bottom
F5,PCB Fiducial,BottomLayer,Fiducial_1mm_-_2mm,5.08,31.75,0,PCB Fiducial,,,,,Bottom
F4,PCB Fiducial,TopLayer,Fiducial_1mm_-_2mm,5.08,5.08,180,PCB Fiducial,,,,,Top
R21,0,TopLayer,R0402_0.40MM_HD,6.6893,22.5619,270,RES 0.0 OHM 1/10W JUMP 0402 SMD,ERJ-2GE0R00X,Digi-Key,P0.0JCT-ND,,Top
R9,100k,TopLayer,R0402_0.40MM_HD,16.009,6.985,90,RES 100K OHM 1/10W 1% 0402 SMD,ERJ-2RKF1003X,Digi-Key,P100KLCT-ND,,Top
F3,PCB Fiducial,TopLayer,Fiducial_1mm_-_2mm,31.75,5.08,180,PCB Fiducial,,,,,Top
F2,PCB Fiducial,TopLayer,Fiducial_1mm_-_2mm,31.75,31.75,180,PCB Fiducial,,,,,Top
F1,PCB Fiducial,TopLayer,Fiducial_1mm_-_2mm,5.08,31.75,180,PCB Fiducial,,,,,Top
U6,APS6408L-3OBM-BA,TopLayer,BGA24C100P5X5_600X800X120,11.884,10.033,180,3.3v Double-Data-Rate Octal SPI Xccela PSRAM,APS6408L-3OBM-BA,,,,Top
X1,32.768kHz,TopLayer,XTAL_3215,17.7885,22.7819,270,CRYSTAL 32.768KHZ 9PF SMD,NX3215SA-32.768K-STD-MUA-9,Digi-Key,644-1155-6-ND,,Top
